| visit |            date-obs |       exptime | expnum |  PA |   uw1 |  uw2 |       obsid |
|    01 | 2015-09-05T05:51:28 |  205.23334581 |      1 | 248 |  True | True | 00034040001 |
|    01 | 2015-09-05T07:07:18 | 1906.22691971 |      2 | 248 |  True | True | 00034040001 |
|    01 | 2015-09-05T08:38:19 | 2140.76844906 |      3 | 248 |  True | True | 00034040001 |
|    02 | 2015-09-05T13:30:31 | 1894.42342776 |      1 | 260 |  True | True | 00034040002 |
|    02 | 2015-09-05T15:07:20 | 1837.32724022 |      2 | 260 |  True | True | 00034040002 |
|    02 | 2015-09-05T16:52:29 |  353.58774287 |      3 | 260 |  True | True | 00034040002 |
|    05 | 2015-09-10T03:45:19 |  892.47189605 |      1 | 248 | False | True | 00034040005 |
|    05 | 2015-09-10T06:51:20 | 946.592604931 |      2 | 248 | False | True | 00034040005 |
|    05 | 2015-09-10T18:14:19 | 892.471935413 |      3 | 248 | False | True | 00034040005 |
|    07 | 2015-09-10T05:23:20 |  946.60347084 |      1 | 260 | False | True | 00034040007 |
|    09 | 2015-09-11T08:27:21 | 892.460853092 |      1 | 248 | False | True | 00034040009 |
|    09 | 2015-09-11T09:59:19 | 892.482565138 |      2 | 248 | False | True | 00034040009 |
|    11 | 2015-09-11T11:49:20 | 892.460912108 |      1 | 260 | False | True | 00034040011 |
|    11 | 2015-09-11T13:24:20 | 892.471758305 |      2 | 260 | False | True | 00034040011 |
|    11 | 2015-09-11T14:59:19 | 892.471817322 |      3 | 260 | False | True | 00034040011 |
|    13 | 2017-09-17T19:17:21 | 1008.70561906 |      1 | 248 | False | True | 00034040013 |
|    13 | 2017-09-17T20:49:20 | 1170.01473992 |      2 | 248 | False | True | 00034040013 |
|    13 | 2017-09-17T23:51:18 | 1331.43234228 |      3 | 248 | False | True | 00034040013 |
|    15 | 2017-09-20T09:17:19 | 848.167581889 |      1 | 260 | False | True | 00034040015 |
|    15 | 2017-09-20T10:52:19 | 740.903266364 |      2 | 260 | False | True | 00034040015 |
|    15 | 2017-09-20T12:28:18 | 740.914132213 |      3 | 260 | False | True | 00034040015 |
|    15 | 2017-09-20T14:12:19 | 1224.15721986 |      4 | 260 | False | True | 00034040015 |
|    15 | 2017-09-20T22:18:18 | 686.771612787 |      5 | 260 | False | True | 00034040015 |
