# Downloaded 10/08/2018
# http://kronos.uchicago.edu/snax/
# All SNe with II in type
"name"	"type"	"Date Exploded (JD)"	"Coordinates"	"Distance (Mpc)"	"galaxy"	"redshift"	"redshiftErr"	"Observation Start Date (JD)"	"instrument"	"Age (days)"	"Flux (10^-13 erg cm^-2 s^-1)"	"isUpperBound"	"fluxErrL"	"fluxErrH"	"Energy Lower Bound (KeV)"	"Energy Upper Bound (KeV)"	"Luminosity (10^39 erg s^-1)"	"lumErrL"	"lumErrH"	"model"	"dateExplodedRef"	"redshiftRef"	"dateExplodedRef"	"coordsRef"	"distRef"	"dateObservedRef"	"fluxRef"	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.00	UGC 5189 A	0.0107		2455505.5	Swift-XRT	43	29.54	0	7.95	7.95	0.2	10.0	800	200	200	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2455522.5	Chandra	52	30.56	0	4.95	4.95	0.2	10.0	900	100	100	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2455523.5	Swift-XRT	59	24.33	0	8.13	8.13	0.2	10.0	700	200	200	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2455537.5	Chandra	68	29.40	0	2.48	2.48	0.2	10.0	840	70	70	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2455675.5	Swift-XRT	137	34.68	0	7.76	7.76	0.2	10.0	1000	200	200	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2455852.5	Chandra	382	22.04	0	1.32	1.32	0.2	10.0	630	40	40	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2456089.5	Chandra	619	10.1	0	0.7	0.7	0.2	10.0	290	20	20	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2456207.5	Swift-XRT	744	4.3	0	1.0	1.0	0.2	10.0	120	30	30	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2456205.5	NuSTAR, XMM	749	4.00	0	0.18	0.18	0.2	10.0	115	5	5	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
SN 2010jl	IIn	2455470.5	09 42 53.33 +09 29 41.8	49.0000000000	UGC 5189 A	0.0107000000	0.000000000000000	2456313.5	Swift-XRT	877	4.00	0	0.51	0.51	0.2	10.0	110	10	10	apec Thermal Plasma	2015ApJ...810...32C	2014ApJ...781...42O	2015ApJ...810...32C	2008yCat....1.2024B	2014ApJ...781...42O	2015ApJ...810...32C	2015ApJ...810...32C	
