| visit |            date-obs |           exptime |       obsid |    cts/s  | Flux(ergs/cm/cm/s)  | unabsorbed-flux |  NH     |
|    01 | 2015-09-04T10:13:29 |  8.52737025797731 | 00034035001 |  -        |                     |                 | 6.18E20 |
|    01 | 2015-09-04T10:13:40 | 1907.939538023276 | 00034035001 |  6.47E-03 |           2.203E-13 | 2.419E-13       | 6.18E20 |
|    02 | 2015-09-09T20:01:19 | 569.3860859010013 | 00034035002 |  2.70E-02 |           9.194E-13 | 1.009E-12       | 6.18E20 |
|    02 | 2015-09-09T20:01:08 | 9.582430976977513 | 00034035002 |           |                     |                 | 6.18E20 |
|    05 | 2015-09-15T21:08:43 | 8.538029454283631 | 00034035005 |           |                     |                 | 6.18E20 |
|    05 | 2015-09-15T21:08:54 | 646.8013377987905 | 00034035005 |  1.78E-02 |           6.061E-13 | 6.654E-13       | 6.18E20 |
|    06 | 2015-09-16T01:52:03 | 1066.341706248175 | 00034035006 |  1.02e-02 |           3.473E-13 | 3.813E-13       | 6.18E20 |
|    06 | 2015-09-16T01:51:53 |  8.52204063006532 | 00034035006 |           |                     |                 | 6.18E20 |
|    07 | 2015-09-18T19:16:09 |  2866.89876618902 | 00034035007 |  6.46e-03 |           2.200E-13 | 2.415E-13       | 6.18E20 |
|    07 | 2015-09-18T19:15:57 | 37.96905190011396 | 00034035007 |           |                     |                 | 6.18E20 |
|    08 | 2015-09-24T07:30:36 | 3031.708498005793 | 00034035008 |  6.01e-03 |           2.047E-13 | 2.247E-13       | 6.18E20 |
|    08 | 2015-09-24T07:30:25 | 28.80232320333468 | 00034035008 |           |                     |                 | 6.18E20 |
|    09 | 2015-09-28T02:35:56 | 2971.764143237088 | 00034035009 |  3.64e-03 |           1.240E-13 | 1.361E-13       | 6.18E20 |
|    09 | 2015-09-28T02:35:45 | 19.15418133025846 | 00034035009 |           |                     |                 | 6.18E20 |
|    10 | 2015-10-02T12:05:36 | 19.25009255688167 | 00034035010 |           |                     |                 | 6.18E20 |
|    10 | 2015-10-02T12:05:48 |  1613.25246707311 | 00034035010 |  8.27e-03 |           2.816E-13 | 3.092E-13       | 6.18E20 |
|    11 | 2015-10-07T18:10:18 | 19.23588060446284 | 00034035011 |           |                     |                 | 6.18E20 |
|    11 | 2015-10-07T18:10:30 | 839.1007075834771 | 00034035011 |  1.35e-02 |           4.597E-13 | 5.047E-13       | 6.18E20 |
|    12 | 2015-11-03T00:16:13 |   1191.2347317376 | 00034035012 |  1.52e-02 |           5.176E-13 | 5.682E-13       | 6.18E20 |
|    12 | 2015-11-03T00:16:00 | 37.25687697362564 | 00034035012 |           |                     |                 | 6.18E20 |
|    13 | 2015-11-06T11:21:30 |  19.1328839080302 | 00034035013 |           |                     |                 | 6.18E20 |
|    13 | 2015-11-06T11:21:42 |  1962.86939850252 | 00034035013 |  9.23e-03 |           3.143E-13 | 3.450E-13       | 6.18E20 |
|    14 | 2015-11-18T10:34:48 | 2120.206999278553 | 00034035014 |  5.08e-03 |           1.730E-13 | 1.899E-13       | 6.18E20 |
|    14 | 2015-11-18T10:34:37 | 28.65485354307245 | 00034035014 |           |                     |                 | 6.18E20 |
|    01 | 2015-09-05T05:49:38 | 19.42307701939657 | 00034040001 |           |                     |                 | 6.18E20 |
|    01 | 2015-09-05T05:49:43 | 25.61053545612921 | 00034040001 |           |                     |                 | 6.18E20 |
|    01 | 2015-09-05T05:49:54 | 4397.911489605011 | 00034040001 |  3.85e-03 |           1.311E-13 | 1.439E-13       | 6.18E20 |
|    02 | 2015-09-05T13:26:02 | 104.8949874544749 | 00034040002 |           |                     |                 | 6.18E20 |
|    02 | 2015-09-05T13:26:56 | 28.76679344562773 | 00034040002 |           |                     |                 | 6.18E20 |
|    02 | 2015-09-05T13:27:08 | 4335.499201653963 | 00034040002 |  3.41e-03 |           1.161E-13 | 1.275E-13       | 6.18E20 |
|    04 | 2015-09-10T03:40:38 | 165.9773691876014 | 00034040004 |           |                     |                 | 6.18E20 |
|    04 | 2015-09-10T03:41:57 | 524.4552033661937 | 00034040004 |  2.15e-03 |           7.321E-14 | 8.037E-14       | 6.18E20 |
|    04 | 2015-09-10T03:41:46 | 27.67089385412316 | 00034040004 |           |                     |                 | 6.18E20 |
|    05 | 2015-09-10T03:45:15 | 3034.205423523352 | 00034040005 |  3.60e-03 |           1.226E-13 | 1.346E-13       | 6.18E20 |
|    05 | 2015-09-10T03:44:58 | 44.28507202983983 | 00034040005 |           |                     |                 | 6.18E20 |
|    06 | 2015-09-10T05:19:57 | 297.1932559473327 | 00034040006 |  3.73e-02 |           1.270E-12 | 1.394E-12       | 6.18E20 |
|    06 | 2015-09-10T05:19:46 | 19.07777274539635 | 00034040006 |           |                     |                 | 6.18E20 |
|    06 | 2015-09-10T05:18:39 |  113.247923320067 | 00034040006 |           |                     |                 | 6.18E20 |
|    07 | 2015-09-10T05:22:58 | 14.75815815241146 | 00034040007 |           |                     |                 | 6.18E20 |
|    07 | 2015-09-10T05:23:15 | 1038.871607393539 | 00034040007 |  1.07e-02 |           3.644E-13 | 4.000E-13       | 6.18E20 |
|    08 | 2015-09-11T08:23:04 |  392.089860566039 | 00034040008 |  2.92e-02 |           9.943E-13 | 1.092E-12       | 6.18E20 |
|    08 | 2015-09-11T08:22:39 | 79.50323302510535 | 00034040008 |           |                     |                 | 6.18E20 |
|    08 | 2015-09-11T08:22:53 |  19.0688902379369 | 00034040008 |           |                     |                 | 6.18E20 |
|    09 | 2015-09-11T08:26:58 | 29.51929497781571 | 00034040009 |           |                     |                 | 6.18E20 |
|    09 | 2015-09-11T08:27:15 | 1965.366334989057 | 00034040009 |  5.31e-03 |           1.808E-13 | 1.985E-13       | 6.18E20 |
|    10 | 2015-09-11T11:44:38 | 277.1940327144353 | 00034040010 |           |                     |                 | 6.18E20 |
|    10 | 2015-09-11T11:46:19 | 25.63722332471298 | 00034040010 |           |                     |                 | 6.18E20 |
|    10 | 2015-09-11T11:46:30 | 429.5581554291294 | 00034040010 |  3.56e-02 |           1.212E-12 | 1.331E-12       | 6.18E20 |
|    11 | 2015-09-11T11:48:58 | 44.28684835421553 | 00034040011 |           |                     |                 | 6.18E20 |
|    11 | 2015-09-11T11:49:15 | 2959.287656581583 | 00034040011 |  3.67e-03 |           1.250E-13 | 1.372E-13       | 6.18E20 |

